weather		temperature		humidity		wind		play
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
sunny		hot			high			false		no
sunny		hot			high			false		no
sunny		hot			high			false		no
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
overcast	hot			high			false		yes
rainy		warm			high			false		yes
rainy		warm			high			false		yes
rainy		warm			high			false		yes
rainy		cool			norm			true		no
rainy		cool			norm			true		no
rainy		cool			norm			true		no
rainy		cool			norm			true		no
rainy		cool			norm			true		no
rainy		cool			norm			true		no
overcast	warm			high			true		yes
overcast	warm			high			true		yes
overcast	warm			high			true		yes
overcast	warm			high			true		yes
overcast	hot			high			false		yes
rainy		warm			high			false		yes
